Year,Crop,Tissue,Feature ID,Treatment,Mean,p-value,Pathway,Superclass,Class
2022,corn,leaf,2328,PP,19084.23,2.07799E-07,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Flavones
2022,corn,root,2354,AP,6973.53,3.65131E-07,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,root,2354,PP,2209.38,3.65131E-07,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2354,AP,30389.49,0.023539173,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2354,PP,26413.55,0.023539173,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2383,AP,14007.21,6.10187E-06,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Isoflavones
2022,corn,leaf,2383,PP,9942.93,6.10187E-06,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Isoflavones
2022,corn,leaf,2407,AP,2990.08,0.000571752,Shikimates and Phenylpropanoids,Coumarins and derivatives,Simple coumarins
2022,corn,leaf,2407,PP,2396.93,0.000571752,Shikimates and Phenylpropanoids,Coumarins and derivatives,Simple coumarins
2022,corn,leaf,2413,AP,3861.49,0.000624234,Shikimates and Phenylpropanoids,Organic oxygen compounds,Caffeoyl acids and derivatives
2022,corn,leaf,2413,PP,5492.55,0.000624234,Shikimates and Phenylpropanoids,Organic oxygen compounds,Caffeoyl acids and derivatives
2022,corn,root,2431,AP,850.13,2.96386E-05,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,root,2431,PP,522.48,2.96386E-05,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2431,AP,32387.03,8.57896E-05,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2431,PP,24144.48,8.57896E-05,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2450,AP,9252.44,0.001228801,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2450,PP,6570.38,0.001228801,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2451,AP,1564.51,0.028266412,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2451,PP,1793.48,0.028266412,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2469,AP,10417.97,0.028186198,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2469,PP,8330.35,0.028186198,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2482,AP,122502.08,0.000725084,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Flavones
2022,corn,leaf,2482,PP,100959.78,0.000725084,Shikimates and Phenylpropanoids,Phenylpropanoids and polyketides,Flavones
2022,corn,leaf,2501,AP,5099.87,1.37078E-05,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2501,PP,2595.53,1.37078E-05,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2503,AP,11087.33,0.007783008,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2503,PP,8683.83,0.007783008,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2512,AP,15012.67,0.000951738,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2512,PP,11462.48,0.000951738,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2524,AP,23737.05,0.003441391,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2524,PP,18892.08,0.003441391,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2563,AP,25125.10,0.045471868,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2563,PP,21364.58,0.045471868,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2599,AP,2314.28,0.040557153,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,leaf,2599,PP,1947.10,0.040557153,Shikimates and Phenylpropanoids,Flavonoids,Flavones
2022,corn,root,2784,AP,8094.30,0.01845778,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
2022,corn,root,2784,PP,8883.10,0.01845778,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives
2022,corn,root,2845,AP,9632.95,3.35058E-05,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,root,2845,PP,11389.05,3.35058E-05,Shikimates and Phenylpropanoids,Organic oxygen compounds,Coumaric acids and derivatives
2022,corn,leaf,2874,AP,7364.90,0.061815153,Unclassified,Unclasssified,Unclassified
2022,corn,leaf,2874,PP,9805.03,0.061815153,Unclassified,Unclasssified,Unclassified
2022,corn,leaf,2936,AP,26609.46,0.080314783,Unclassified,Unclasssified,Unclassified
2022,corn,leaf,2936,PP,34350.15,0.080314783,Unclassified,Unclasssified,Unclassified
2022,corn,root,2941,AP,857.53,0.029178974,Fatty acids,Octadecanoids,Prostaglandins
2022,corn,root,2941,PP,985.70,0.029178974,Fatty acids,Octadecanoids,Prostaglandins
2022,corn,leaf,2954,AP,10421.85,0.004364469,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
2022,corn,leaf,2954,PP,16455.53,0.004364469,Fatty acids,Glycerophospholipids,Glycerophosphoethanolamines
